Name,Total_Direct_Costs,Total_Costs,Most_Recent_Year,Total_Projects
Terrence Adam,0.00,0.00,N/A,0
Cristina Albott,"929,246.00","1,003,585.00",2025,5
Joshua Aman,"8,441,770.00","10,925,878.00",2030,27
Katherine Arlinghaus,0.00,0.00,N/A,0
Veronika Bachanova,"526,692.00","773,994.00",2026,5
Arianne Baldomero,0.00,0.00,N/A,0
Anne Bantle,"1,003,175.00","1,176,972.00",2027,6
Andrew Barnes,"11,926,375.00","14,793,079.00",2028,18
Maneesh Bhargava,"6,189,214.00","7,667,341.00",2027,9
Carolyn Bramante,"843,720.00","956,233.00",2027,5
Jazmin Camchong,"1,217,192.00","1,513,546.00",2027,7
Cari Clark,"967,950.00","1,493,729.00",2025,6
Curtis Corum,"3,756,394.00","4,969,477.00",2027,8
Dori Cross,"414,443.00","589,867.00",2025,4
Sarah Cusick,"2,515,532.00","3,181,590.00",2024,9
Christen Ebens,"300,000.00","465,000.00",2031,2
Ida Fonkoue,"639,644.00","742,088.00",2026,6
Steven Friedenberg,"1,015,209.00","1,240,449.00",2030,7
Anne Frosch,"2,143,721.00","2,380,065.00",2029,8
Bernadette Gillick,"4,240,787.00","6,252,402.00",2026,15
Andrew Grande,"875,339.00","1,229,612.00",2023,2
Allyson Hart,"1,158,943.00","1,466,222.00",2029,5
Samir Khariwala,"3,701,157.00","5,121,601.00",2026,15
Christopher LaRocca,0.00,0.00,N/A,0
Hee Yun Lee,"1,597,983.00","2,356,335.00",2028,7
Jiwoo Lee,"552,861.00","597,090.00",2026,4
Xiufeng Li,"892,675.00","1,301,566.00",2028,3
Eric Lock,"33,999,114.00","40,918,618.00",2027,77
Emil Lou,"2,238,252.00","2,772,214.00",2030,26
Silvia Mangia,"9,597,414.00","13,791,950.00",2029,31
Corey McGee,"400,032.00","496,520.00",2024,1
Siobhan McMahon,"1,858,216.00","2,748,261.00",2023,7
Stephanie Misono,"1,295,607.00","1,542,391.00",2027,8
Amir Moheet,"275,000.00","421,379.00",2020,2
Hai Dang Nguyen,"1,977,616.00","2,525,987.00",2029,7
Mark Osborn,"1,326,911.00","2,001,791.00",2030,7
Ann Parr,"3,481,009.00","4,958,238.00",2026,18
Rene Pierpont,"588,372.00","634,800.00",2027,4
Alexa Pragman,0.00,0.00,2027,10
Anna Prizment,"1,665,386.00","2,374,131.00",2027,9
Armin Rashidi,0.00,0.00,N/A,0
Elizabeth Rogers,"4,947,592.00","5,917,824.00",2026,25
Zohar Sachs,0.00,0.00,N/A,0
Sandra Safo,"1,779,959.00","2,561,658.00",2026,8
William Schmalstieg,0.00,0.00,N/A,0
Craig Schulz,0.00,0.00,N/A,0
Sabrina Scroggins,"696,875.00","750,642.00",2026,5
Chetan Shenoy,"3,420,647.00","3,984,962.00",2026,13
Tetyana Shippee,"6,813,875.00","9,744,796.00",2030,19
Rebecca Shlafer,"2,471,511.00","3,948,444.00",2026,11
Caleb Skipper,"977,601.00","1,198,923.00",2029,4
Guisheng Song,"2,450,972.00","3,746,703.00",2027,10
Elizabeth Swanson,"218,697.00","251,363.00",2022,4
Katherine Vickery,"1,650,379.00","1,890,824.00",2029,11
